brandName,genericName,strength,formulation,category,aliases,betaAllowed
A Cold 5mg/500mg/30mg Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
A-Cet 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
A-Cet 5mg Syrup,Cetirizine,5mg,Syrup,Antihistamines,"['Alkof LS Syrup', 'Act Syrup', 'Alernyl 5 mg/10 mg Syrup']",True
A2D Syrup,Levocetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Allercet-M Syrup', 'Alday Duo Syrup', 'Acolate M Kid Syrup Orange']",True
A2D Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
AA 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
AA M Syrup,Levocetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Allercet-M Syrup', 'Alday Duo Syrup', 'Acolate M Kid Syrup Orange']",True
AA-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
AC-Breathe-Plus Tablet SR,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
ACB 3D 10mg/120mg/200mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
AFM Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
AG 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
AH Plus Tablet,Levocetirizine,NA,Tablet,Antihistamines,"['Amrox LC Tablet', 'Allerone-M Kid Tablet', 'Anticet Tablet']",True
AL 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
AX Cold Syrup,Cetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Alocet-XL 2.5mg/5ml/30mg/5ml Syrup', 'Ascodex Mintz Ctz Syrup', 'Acecold Syrup']",True
AZ 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Aaeka Levo 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Aamont-LC Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Aaptol CZ 5mg/500mg/5mg Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
Aarkast F 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Abcet 5mg/60mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Aberset FM 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Abfex-M Tablet SR,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Abice- M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abicet LA 5mg/500mg/5mg Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
Abicet M Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Abicet Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abicet-L 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abicet-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abicold Tablet,Caffeine,25mg,Tablet,Antihistamines,"['Albicold N Tablet', 'Alflam Kold Tablet', 'Avokold N Tablet']",True
Abides Tablet,Desloratadine,5mg,Tablet,Antihistamines,"['Alides 5mg Tablet', 'Alenix 5 Tablet', 'Allerde 5mg Tablet']",True
Abiliv 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abiliv A 5mg/60mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abimonte Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Ablevo 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abllin-LC Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Abmac Tablet,Acebrophylline,200mg,Tablet,Antihistamines,"['Acmon-DM Tablet SR', 'Abrophyll-DM Tablet', 'Alsolve-DM Tablet']",True
Abmont 3D 10mg/120mg/200mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Abmont AL 75mg/5mg/10mg Tablet,Ambroxol,75mg,Tablet,Antihistamines,"['Alerfix Total Tablet SR', 'Alersin-Total Tablet SR', 'Alercid Total 75mg/5mg/10mg Tablet']",True
